Ag	Cu	velocity	x	y	filename
0.237	0.141	0.0525	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0525_SS01_SN01-v2
0.237	0.141	0.0525	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0525_SS01_SN01-v3
0.237	0.141	0.0525	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0525_SS01_SN01
0.237	0.141	0.05934375	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0593437500_SS01_SN02-v2
0.237	0.141	0.05934375	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0593437500_SS01_SN02-v3
0.237	0.141	0.05934375	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0593437500_SS01_SN02
0.237	0.141	0.077366667	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,077366_SS01_SN03-v2
0.237	0.141	0.077366667	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,077366_SS01_SN03-v3
0.237	0.141	0.077366667	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,077366_SS01_SN03
0.237	0.141	0.0844	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0844_SS01_SN04-v2
0.237	0.141	0.0844	800	800	quasi-real_800x800x240_vol_conc_DLR_SE_scaled_V_0,0844_SS01_SN04
0.2391	0.1389	0.659375	800	800	quasi_real_800x800x260_V_0_0659375_SS04_SN01
0.2433	0.1347	0.659375	800	800	quasi_real_800x800x260_V_0_0659375_SS04_SN03
0.2391	0.1389	0.079125	800	800	quasi_real_800x800x260_V_0_079125_SS04_SN01
0.2433	0.1347	0.079125	800	800	quasi_real_800x800x260_V_0_079125_SS04_SN03
0.2391	0.1389	0.079125	800	800	quasi_real_800x800x260_V_0_079125_SS04_SN05
0.2391	0.1389	0.0525	800	800	quasi_real_800x800x260_V_0_05275_SS04_SN01
0.2433	0.1347	0.0525	800	800	quasi_real_800x800x260_V_0_05275_SS04_SN03
0.237	0.141	0.09143333	800	800	quasi-real_800x800x260_vol_conc_DLR_SE_scaled_V_0_09143333_SS01_SN05
0.237	0.141	0.051285	800	800	quasi-real_800x800x260_vol_conc_DLR_SE_scaled_V_0_051285_SS01_SN06
